Combinación;1A;1B;1D;1E;1G;1I;1K;1L
BDEFGIJL;3E;3G;3B;3D;3J;3F;3L;3I
BDEFGIJK;3E;3G;3B;3D;3J;3F;3I;3K
BDEFGHKL;3E;3G;3B;3D;3H;3F;3L;3K
BDEFGHJL;3H;3G;3B;3D;3J;3F;3L;3E
BDEFGHJK;3H;3G;3B;3D;3J;3F;3E;3K
BDEFGHIL;3E;3G;3B;3D;3H;3F;3L;3I
BDEFGHIK;3E;3G;3B;3D;3H;3F;3I;3K
BDEFGHIJ;3H;3G;3B;3D;3J;3F;3E;3I
BCGHIJKL;3H;3J;3B;3C;3I;3G;3L;3K
BCFHIJKL;3H;3J;3B;3C;3I;3F;3L;3K
BCFGIJKL;3I;3G;3B;3C;3J;3F;3L;3K
BCFGHJKL;3H;3G;3B;3C;3J;3F;3L;3K
BCFGHIKL;3H;3G;3B;3C;3I;3F;3L;3K
BCFGHIJL;3H;3G;3B;3C;3J;3F;3L;3I
BCFGHIJK;3H;3G;3B;3C;3J;3F;3I;3K
BCEHIJKL;3E;3J;3B;3C;3I;3H;3L;3K
BCEGIJKL;3E;3J;3B;3C;3I;3G;3L;3K
BCEGHJKL;3E;3J;3B;3C;3H;3G;3L;3K
BCEGHIKL;3E;3G;3B;3C;3I;3H;3L;3K
BCEGHIJL;3E;3J;3B;3C;3H;3G;3L;3I
BCEGHIJK;3E;3J;3B;3C;3H;3G;3I;3K
BCEFIJKL;3E;3J;3B;3C;3I;3F;3L;3K
BCEFHJKL;3E;3J;3B;3C;3H;3F;3L;3K
BCEFHIKL;3E;3I;3B;3C;3H;3F;3L;3K
BCEFHIJL;3E;3J;3B;3C;3H;3F;3L;3I
BCEFHIJK;3E;3J;3B;3C;3H;3F;3I;3K
BCEFGJKL;3E;3G;3B;3C;3J;3F;3L;3K
BCEFGIKL;3E;3G;3B;3C;3I;3F;3L;3K
BCEFGIJL;3E;3G;3B;3C;3J;3F;3L;3I
BCEFGIJK;3E;3G;3B;3C;3J;3F;3I;3K
BCEFGHKL;3E;3G;3B;3C;3H;3F;3L;3K
BCEFGHJL;3H;3G;3B;3C;3J;3F;3L;3E
BCEFGHJK;3H;3G;3B;3C;3J;3F;3E;3K
BCEFGHIL;3E;3G;3B;3C;3H;3F;3L;3I
BCEFGHIK;3E;3G;3B;3C;3H;3F;3I;3K
BCEFGHIJ;3H;3G;3B;3C;3J;3F;3E;3I
BCDHIJKL;3H;3J;3B;3C;3I;3D;3L;3K
BCDGIJKL;3I;3G;3B;3C;3J;3D;3L;3K
BCDGHJKL;3H;3G;3B;3C;3J;3D;3L;3K
BCDGHIKL;3H;3G;3B;3C;3I;3D;3L;3K
BCDGHIJL;3H;3G;3B;3C;3J;3D;3L;3I
BCDGHIJK;3H;3G;3B;3C;3J;3D;3I;3K
BCDFIJKL;3C;3J;3B;3D;3I;3F;3L;3K
BCDFHJKL;3C;3J;3B;3D;3H;3F;3L;3K
BCDFHIKL;3C;3I;3B;3D;3H;3F;3L;3K
BCDFHIJL;3C;3J;3B;3D;3H;3F;3L;3I
BCDFHIJK;3C;3J;3B;3D;3H;3F;3I;3K
BCDFGJKL;3C;3G;3B;3D;3J;3F;3L;3K
BCDFGIKL;3C;3G;3B;3D;3I;3F;3L;3K
BCDFGIJL;3C;3G;3B;3D;3J;3F;3L;3I
BCDFGIJK;3C;3G;3B;3D;3J;3F;3I;3K
BCDFGHKL;3C;3G;3B;3D;3H;3F;3L;3K
BCDFGHJL;3C;3G;3B;3D;3H;3F;3L;3J
BCDFGHJK;3H;3G;3B;3C;3J;3F;3D;3K
BCDFGHIL;3C;3G;3B;3D;3H;3F;3L;3I
BCDFGHIK;3C;3G;3B;3D;3H;3F;3I;3K
BCDFGHIJ;3H;3G;3B;3C;3J;3F;3D;3I
BCDEIJKL;3E;3J;3B;3C;3I;3D;3L;3K
BCDEHJKL;3E;3J;3B;3C;3H;3D;3L;3K
BCDEHIKL;3E;3I;3B;3C;3H;3D;3L;3K
BCDEHIJL;3E;3J;3B;3C;3H;3D;3L;3I
BCDEHIJK;3E;3J;3B;3C;3H;3D;3I;3K
BCDEGJKL;3E;3G;3B;3C;3J;3D;3L;3K
BCDEGIKL;3E;3G;3B;3C;3I;3D;3L;3K
BCDEGIJL;3E;3G;3B;3C;3J;3D;3L;3I
BCDEGIJK;3E;3G;3B;3C;3J;3D;3I;3K
BCDEGHKL;3E;3G;3B;3C;3H;3D;3L;3K
BCDEGHJL;3H;3G;3B;3C;3J;3D;3L;3E
BCDEGHJK;3H;3G;3B;3C;3J;3D;3E;3K
BCDEGHIL;3E;3G;3B;3C;3H;3D;3L;3I
BCDEGHIK;3E;3G;3B;3C;3H;3D;3I;3K
BCDEGHIJ;3H;3G;3B;3C;3J;3D;3E;3I
BCDEFJKL;3C;3J;3B;3D;3E;3F;3L;3K
BCDEFIKL;3C;3E;3B;3D;3I;3F;3L;3K
BCDEFIJL;3C;3J;3B;3D;3E;3F;3L;3I
BCDEFIJK;3C;3J;3B;3D;3E;3F;3I;3K
BCDEFHKL;3C;3E;3B;3D;3H;3F;3L;3K
BCDEFHJL;3C;3J;3B;3D;3H;3F;3L;3E
BCDEFHJK;3C;3J;3B;3D;3H;3F;3E;3K
BCDEFHIL;3C;3E;3B;3D;3H;3F;3L;3I
BCDEFHIK;3C;3E;3B;3D;3H;3F;3I;3K
BCDEFHIJ;3C;3J;3B;3D;3H;3F;3E;3I
BCDEFGKL;3C;3G;3B;3D;3E;3F;3L;3K
BCDEFGJL;3C;3G;3B;3D;3J;3F;3L;3E
BCDEFGJK;3C;3G;3B;3D;3J;3F;3E;3K
BCDEFGIL;3C;3G;3B;3D;3E;3F;3L;3I
BCDEFGIK;3C;3G;3B;3D;3E;3F;3I;3K
BCDEFGIJ;3C;3G;3B;3D;3J;3F;3E;3I
BCDEFGHL;3C;3G;3B;3D;3H;3F;3L;3E
BCDEFGHK;3C;3G;3B;3D;3H;3F;3E;3K
BCDEFGHJ;3H;3G;3B;3C;3J;3F;3D;3E
BCDEFGHI;3C;3G;3B;3D;3H;3F;3E;3I
AFGHIJKL;3H;3J;3I;3F;3A;3G;3L;3K
AEGHIJKL;3E;3J;3I;3A;3H;3G;3L;3K
AEFHIJKL;3E;3J;3I;3F;3A;3H;3L;3K
AEFGIJKL;3E;3J;3I;3F;3A;3G;3L;3K
AEFGHJKL;3E;3G;3J;3F;3A;3H;3L;3K
AEFGHIKL;3E;3G;3I;3F;3A;3H;3L;3K
AEFGHIJL;3E;3G;3J;3F;3A;3H;3L;3I
AEFGHIJK;3E;3G;3J;3F;3A;3H;3I;3K
ADGHIJKL;3H;3J;3I;3D;3A;3G;3L;3K
ADFHIJKL;3H;3J;3I;3D;3A;3F;3L;3K
ADFGIJKL;3I;3G;3J;3D;3A;3F;3L;3K
ADFGHJKL;3H;3G;3J;3D;3A;3F;3L;3K
ADFGHIKL;3H;3G;3I;3D;3A;3F;3L;3K
ADFGHIJL;3H;3G;3J;3D;3A;3F;3L;3I
ADFGHIJK;3H;3G;3J;3D;3A;3F;3I;3K
ADEHIJKL;3E;3J;3I;3D;3A;3H;3L;3K
ADEGIJKL;3E;3J;3I;3D;3A;3G;3L;3K
ADEGHJKL;3E;3G;3J;3D;3A;3H;3L;3K
ADEGHIKL;3E;3G;3I;3D;3A;3H;3L;3K
ADEGHIJL;3E;3G;3J;3D;3A;3H;3L;3I
ADEGHIJK;3E;3G;3J;3D;3A;3H;3I;3K
ADEFIJKL;3E;3J;3I;3D;3A;3F;3L;3K
ADEFHJKL;3H;3J;3E;3D;3A;3F;3L;3K
ADEFHIKL;3H;3E;3I;3D;3A;3F;3L;3K
ADEFHIJL;3H;3J;3E;3D;3A;3F;3L;3I
ADEFHIJK;3H;3J;3E;3D;3A;3F;3I;3K
ADEFGJKL;3E;3G;3J;3D;3A;3F;3L;3K
ADEFGIKL;3E;3G;3I;3D;3A;3F;3L;3K
ADEFGIJL;3E;3G;3J;3D;3A;3F;3L;3I
ADEFGIJK;3E;3G;3J;3D;3A;3F;3I;3K
ADEFGHKL;3H;3G;3E;3D;3A;3F;3L;3K
ADEFGHJL;3H;3G;3J;3D;3A;3F;3L;3E
ADEFGHJK;3H;3G;3J;3D;3A;3F;3E;3K
ADEFGHIL;3H;3G;3E;3D;3A;3F;3L;3I
ADEFGHIK;3H;3G;3E;3D;3A;3F;3I;3K
ADEFGHIJ;3H;3G;3J;3D;3A;3F;3E;3I
ACGHIJKL;3H;3J;3I;3C;3A;3G;3L;3K
ACFHIJKL;3H;3J;3I;3C;3A;3F;3L;3K
ACFGIJKL;3I;3G;3J;3C;3A;3F;3L;3K
ACFGHJKL;3H;3G;3J;3C;3A;3F;3L;3K
ACFGHIKL;3H;3G;3I;3C;3A;3F;3L;3K
ACFGHIJL;3H;3G;3J;3C;3A;3F;3L;3I
ACFGHIJK;3H;3G;3J;3C;3A;3F;3I;3K
ACEHIJKL;3E;3J;3I;3C;3A;3H;3L;3K
ACEGIJKL;3E;3J;3I;3C;3A;3G;3L;3K
ACEGHJKL;3E;3G;3J;3C;3A;3H;3L;3K
ACEGHIKL;3E;3G;3I;3C;3A;3H;3L;3K
ACEGHIJL;3E;3G;3J;3C;3A;3H;3L;3I
ACEGHIJK;3E;3G;3J;3C;3A;3H;3I;3K
ACEFIJKL;3E;3J;3I;3C;3A;3F;3L;3K
ACEFHJKL;3H;3J;3E;3C;3A;3F;3L;3K
ACEFHIKL;3H;3E;3I;3C;3A;3F;3L;3K
ACEFHIJL;3H;3J;3E;3C;3A;3F;3L;3I
ACEFHIJK;3H;3J;3E;3C;3A;3F;3I;3K
ACEFGJKL;3E;3G;3J;3C;3A;3F;3L;3K
ACEFGIKL;3E;3G;3I;3C;3A;3F;3L;3K
ACEFGIJL;3E;3G;3J;3C;3A;3F;3L;3I
ACEFGIJK;3E;3G;3J;3C;3A;3F;3I;3K
ACEFGHKL;3H;3G;3E;3C;3A;3F;3L;3K
ACEFGHJL;3H;3G;3J;3C;3A;3F;3L;3E
ACEFGHJK;3H;3G;3J;3C;3A;3F;3E;3K
ACEFGHIL;3H;3G;3E;3C;3A;3F;3L;3I
ACEFGHIK;3H;3G;3E;3C;3A;3F;3I;3K
ACEFGHIJ;3H;3G;3J;3C;3A;3F;3E;3I
ACDHIJKL;3H;3J;3I;3C;3A;3D;3L;3K
ACDGIJKL;3I;3G;3J;3C;3A;3D;3L;3K
ACDGHJKL;3H;3G;3J;3C;3A;3D;3L;3K
ACDGHIKL;3H;3G;3I;3C;3A;3D;3L;3K
ACDGHIJL;3H;3G;3J;3C;3A;3D;3L;3I
ACDGHIJK;3H;3G;3J;3C;3A;3D;3I;3K
ACDFIJKL;3C;3J;3I;3D;3A;3F;3L;3K
ACDFHJKL;3H;3J;3F;3C;3A;3D;3L;3K
ACDFHIKL;3H;3F;3I;3C;3A;3D;3L;3K
ACDFHIJL;3H;3J;3F;3C;3A;3D;3L;3I
ACDFHIJK;3H;3J;3F;3C;3A;3D;3I;3K
ACDFGJKL;3C;3G;3J;3D;3A;3F;3L;3K
ACDFGIKL;3C;3G;3I;3D;3A;3F;3L;3K
ACDFGIJL;3C;3G;3J;3D;3A;3F;3L;3I
ACDFGIJK;3C;3G;3J;3D;3A;3F;3I;3K
ACDFGHKL;3H;3G;3F;3C;3A;3D;3L;3K
ACDFGHJL;3C;3G;3J;3D;3A;3F;3L;3H
ACDFGHJK;3H;3G;3J;3C;3A;3F;3D;3K
ACDFGHIL;3H;3G;3F;3C;3A;3D;3L;3I
ACDFGHIK;3H;3G;3F;3C;3A;3D;3I;3K
ACDFGHIJ;3H;3G;3J;3C;3A;3F;3D;3I
ACDEIJKL;3E;3J;3I;3C;3A;3D;3L;3K
ACDEHJKL;3H;3J;3E;3C;3A;3D;3L;3K
ACDEHIKL;3H;3E;3I;3C;3A;3D;3L;3K
ACDEHIJL;3H;3J;3E;3C;3A;3D;3L;3I
ACDEHIJK;3H;3J;3E;3C;3A;3D;3I;3K
ACDEGJKL;3E;3G;3J;3C;3A;3D;3L;3K
ACDEGIKL;3E;3G;3I;3C;3A;3D;3L;3K
ACDEGIJL;3E;3G;3J;3C;3A;3D;3L;3I
ACDEGIJK;3E;3G;3J;3C;3A;3D;3I;3K
ACDEGHKL;3H;3G;3E;3C;3A;3D;3L;3K
ACDEGHJL;3H;3G;3J;3C;3A;3D;3L;3E
ACDEGHJK;3H;3G;3J;3C;3A;3D;3E;3K
ACDEGHIL;3H;3G;3E;3C;3A;3D;3L;3I
ACDEGHIK;3H;3G;3E;3C;3A;3D;3I;3K
ACDEGHIJ;3H;3G;3J;3C;3A;3D;3E;3I
ACDEFJKL;3C;3J;3E;3D;3A;3F;3L;3K
ACDEFIKL;3C;3E;3I;3D;3A;3F;3L;3K
ACDEFIJL;3C;3J;3E;3D;3A;3F;3L;3I
ACDEFIJK;3C;3J;3E;3D;3A;3F;3I;3K
ACDEFHKL;3H;3E;3F;3C;3A;3D;3L;3K
ACDEFHJL;3H;3J;3F;3C;3A;3D;3L;3E
ACDEFHJK;3H;3J;3E;3C;3A;3F;3D;3K
ACDEFHIL;3H;3E;3F;3C;3A;3D;3L;3I
ACDEFHIK;3H;3E;3F;3C;3A;3D;3I;3K
ACDEFHIJ;3H;3J;3E;3C;3A;3F;3D;3I
ACDEFGKL;3C;3G;3E;3D;3A;3F;3L;3K
ACDEFGJL;3C;3G;3J;3D;3A;3F;3L;3E
ACDEFGJK;3C;3G;3J;3D;3A;3F;3E;3K
ACDEFGIL;3C;3G;3E;3D;3A;3F;3L;3I
ACDEFGIK;3C;3G;3E;3D;3A;3F;3I;3K
ACDEFGIJ;3C;3G;3J;3D;3A;3F;3E;3I
ACDEFGHL;3H;3G;3F;3C;3A;3D;3L;3E
ACDEFGHK;3H;3G;3E;3C;3A;3F;3D;3K
ACDEFGHJ;3H;3G;3J;3C;3A;3F;3D;3E
ACDEFGHI;3H;3G;3E;3C;3A;3F;3D;3I
ABGHIJKL;3H;3J;3B;3A;3I;3G;3L;3K
ABFHIJKL;3H;3J;3B;3A;3I;3F;3L;3K
ABFGIJKL;3I;3J;3B;3F;3A;3G;3L;3K
ABFGHJKL;3H;3J;3B;3F;3A;3G;3L;3K
ABFGHIKL;3H;3G;3B;3A;3I;3F;3L;3K
ABFGHIJL;3H;3J;3B;3F;3A;3G;3L;3I
ABFGHIJK;3H;3J;3B;3F;3A;3G;3I;3K
ABEHIJKL;3E;3J;3B;3A;3I;3H;3L;3K
ABEGIJKL;3E;3J;3B;3A;3I;3G;3L;3K
ABEGHJKL;3E;3J;3B;3A;3H;3G;3L;3K
ABEGHIKL;3E;3G;3B;3A;3I;3H;3L;3K
ABEGHIJL;3E;3J;3B;3A;3H;3G;3L;3I
ABEGHIJK;3E;3J;3B;3A;3H;3G;3I;3K
ABEFIJKL;3E;3J;3B;3A;3I;3F;3L;3K
ABEFHJKL;3E;3J;3B;3F;3A;3H;3L;3K
ABEFHIKL;3E;3I;3B;3F;3A;3H;3L;3K
ABEFHIJL;3E;3J;3B;3F;3A;3H;3L;3I
ABEFHIJK;3E;3J;3B;3F;3A;3H;3I;3K
ABEFGJKL;3E;3J;3B;3F;3A;3G;3L;3K
ABEFGIKL;3E;3G;3B;3A;3I;3F;3L;3K
ABEFGIJL;3E;3J;3B;3F;3A;3G;3L;3I
ABEFGIJK;3E;3J;3B;3F;3A;3G;3I;3K
ABEFGHKL;3E;3G;3B;3F;3A;3H;3L;3K
ABEFGHJL;3H;3J;3B;3F;3A;3G;3L;3E
ABEFGHJK;3H;3J;3B;3F;3A;3G;3E;3K
ABEFGHIL;3E;3G;3B;3F;3A;3H;3L;3I
ABEFGHIK;3E;3G;3B;3F;3A;3H;3I;3K
ABEFGHIJ;3H;3J;3B;3F;3A;3G;3E;3I
ABDHIJKL;3I;3J;3B;3D;3A;3H;3L;3K
ABDGIJKL;3I;3J;3B;3D;3A;3G;3L;3K
ABDGHJKL;3H;3J;3B;3D;3A;3G;3L;3K
ABDGHIKL;3I;3G;3B;3D;3A;3H;3L;3K
ABDGHIJL;3H;3J;3B;3D;3A;3G;3L;3I
ABDGHIJK;3H;3J;3B;3D;3A;3G;3I;3K
ABDFIJKL;3I;3J;3B;3D;3A;3F;3L;3K
ABDFHJKL;3H;3J;3B;3D;3A;3F;3L;3K
ABDFHIKL;3H;3I;3B;3D;3A;3F;3L;3K
ABDFHIJL;3H;3J;3B;3D;3A;3F;3L;3I
ABDFHIJK;3H;3J;3B;3D;3A;3F;3I;3K
ABDFGJKL;3F;3J;3B;3D;3A;3G;3L;3K
ABDFGIKL;3I;3G;3B;3D;3A;3F;3L;3K
ABDFGIJL;3F;3J;3B;3D;3A;3G;3L;3I
ABDFGIJK;3F;3J;3B;3D;3A;3G;3I;3K
ABDFGHKL;3H;3G;3B;3D;3A;3F;3L;3K
ABDFGHJL;3H;3G;3B;3D;3A;3F;3L;3J
ABDFGHJK;3H;3G;3B;3D;3A;3F;3J;3K
ABDFGHIL;3H;3G;3B;3D;3A;3F;3L;3I
ABDFGHIK;3H;3G;3B;3D;3A;3F;3I;3K
ABDFGHIJ;3H;3G;3B;3D;3A;3F;3I;3J
ABDEIJKL;3E;3J;3B;3A;3I;3D;3L;3K
ABDEHJKL;3E;3J;3B;3D;3A;3H;3L;3K
ABDEHIKL;3E;3I;3B;3D;3A;3H;3L;3K
ABDEHIJL;3E;3J;3B;3D;3A;3H;3L;3I
ABDEHIJK;3E;3J;3B;3D;3A;3H;3I;3K
ABDEGJKL;3E;3J;3B;3D;3A;3G;3L;3K
ABDEGIKL;3E;3G;3B;3A;3I;3D;3L;3K
ABDEGIJL;3E;3J;3B;3D;3A;3G;3L;3I
ABDEGIJK;3E;3J;3B;3D;3A;3G;3I;3K
ABDEGHKL;3E;3G;3B;3D;3A;3H;3L;3K
ABDEGHJL;3H;3J;3B;3D;3A;3G;3L;3E
ABDEGHJK;3H;3J;3B;3D;3A;3G;3E;3K
ABDEGHIL;3E;3G;3B;3D;3A;3H;3L;3I
ABDEGHIK;3E;3G;3B;3D;3A;3H;3I;3K
ABDEGHIJ;3H;3J;3B;3D;3A;3G;3E;3I
ABDEFJKL;3E;3J;3B;3D;3A;3F;3L;3K
ABDEFIKL;3E;3I;3B;3D;3A;3F;3L;3K
ABDEFIJL;3E;3J;3B;3D;3A;3F;3L;3I
ABDEFIJK;3E;3J;3B;3D;3A;3F;3I;3K
ABDEFHKL;3H;3E;3B;3D;3A;3F;3L;3K
ABDEFHJL;3H;3J;3B;3D;3A;3F;3L;3E
ABDEFHJK;3H;3J;3B;3D;3A;3F;3E;3K
ABDEFHIL;3H;3E;3B;3D;3A;3F;3L;3I
ABDEFHIK;3H;3E;3B;3D;3A;3F;3I;3K
ABDEFHIJ;3H;3J;3B;3D;3A;3F;3E;3I
ABDEFGKL;3E;3G;3B;3D;3A;3F;3L;3K
ABDEFGJL;3E;3G;3B;3D;3A;3F;3L;3J
ABDEFGJK;3E;3G;3B;3D;3A;3F;3J;3K
ABDEFGIL;3E;3G;3B;3D;3A;3F;3L;3I
ABDEFGIK;3E;3G;3B;3D;3A;3F;3I;3K
ABDEFGIJ;3E;3G;3B;3D;3A;3F;3I;3J
ABDEFGHL;3H;3G;3B;3D;3A;3F;3L;3E
ABDEFGHK;3H;3G;3B;3D;3A;3F;3E;3K
ABDEFGHJ;3H;3G;3B;3D;3A;3F;3E;3J
ABDEFGHI;3H;3G;3B;3D;3A;3F;3E;3I
ABCHIJKL;3I;3J;3B;3C;3A;3H;3L;3K
ABCGIJKL;3I;3J;3B;3C;3A;3G;3L;3K
ABCGHJKL;3H;3J;3B;3C;3A;3G;3L;3K
ABCGHIKL;3I;3G;3B;3C;3A;3H;3L;3K
ABCGHIJL;3H;3J;3B;3C;3A;3G;3L;3I
ABCGHIJK;3H;3J;3B;3C;3A;3G;3I;3K
ABCFIJKL;3I;3J;3B;3C;3A;3F;3L;3K
ABCFHJKL;3H;3J;3B;3C;3A;3F;3L;3K
ABCFHIKL;3H;3I;3B;3C;3A;3F;3L;3K
ABCFHIJL;3H;3J;3B;3C;3A;3F;3L;3I
ABCFHIJK;3H;3J;3B;3C;3A;3F;3I;3K
ABCFGJKL;3C;3J;3B;3F;3A;3G;3L;3K
ABCFGIKL;3I;3G;3B;3C;3A;3F;3L;3K
ABCFGIJL;3C;3J;3B;3F;3A;3G;3L;3I
ABCFGIJK;3C;3J;3B;3F;3A;3G;3I;3K
ABCFGHKL;3H;3G;3B;3C;3A;3F;3L;3K
ABCFGHJL;3H;3G;3B;3C;3A;3F;3L;3J
ABCFGHJK;3H;3G;3B;3C;3A;3F;3J;3K
ABCFGHIL;3H;3G;3B;3C;3A;3F;3L;3I
ABCFGHIK;3H;3G;3B;3C;3A;3F;3I;3K
ABCFGHIJ;3H;3G;3B;3C;3A;3F;3I;3J
ABCEIJKL;3E;3J;3B;3A;3I;3C;3L;3K
ABCEHJKL;3E;3J;3B;3C;3A;3H;3L;3K
ABCEHIKL;3E;3I;3B;3C;3A;3H;3L;3K
ABCEHIJL;3E;3J;3B;3C;3A;3H;3L;3I
ABCEHIJK;3E;3J;3B;3C;3A;3H;3I;3K
ABCEGJKL;3E;3J;3B;3C;3A;3G;3L;3K
ABCEGIKL;3E;3G;3B;3A;3I;3C;3L;3K
ABCEGIJL;3E;3J;3B;3C;3A;3G;3L;3I
ABCEGIJK;3E;3J;3B;3C;3A;3G;3I;3K
ABCEGHKL;3E;3G;3B;3C;3A;3H;3L;3K
ABCEGHJL;3H;3J;3B;3C;3A;3G;3L;3E
ABCEGHJK;3H;3J;3B;3C;3A;3G;3E;3K
ABCEGHIL;3E;3G;3B;3C;3A;3H;3L;3I
ABCEGHIK;3E;3G;3B;3C;3A;3H;3I;3K
ABCEGHIJ;3H;3J;3B;3C;3A;3G;3E;3I
ABCEFJKL;3E;3J;3B;3C;3A;3F;3L;3K
ABCEFIKL;3E;3I;3B;3C;3A;3F;3L;3K
ABCEFIJL;3E;3J;3B;3C;3A;3F;3L;3I
ABCEFIJK;3E;3J;3B;3C;3A;3F;3I;3K
ABCEFHKL;3H;3E;3B;3C;3A;3F;3L;3K
ABCEFHJL;3H;3J;3B;3C;3A;3F;3L;3E
ABCEFHJK;3H;3J;3B;3C;3A;3F;3E;3K
ABCEFHIL;3H;3E;3B;3C;3A;3F;3L;3I
ABCEFHIK;3H;3E;3B;3C;3A;3F;3I;3K
ABCEFHIJ;3H;3J;3B;3C;3A;3F;3E;3I
ABCEFGKL;3E;3G;3B;3C;3A;3F;3L;3K
ABCEFGJL;3E;3G;3B;3C;3A;3F;3L;3J
ABCEFGJK;3E;3G;3B;3C;3A;3F;3J;3K
ABCEFGIL;3E;3G;3B;3C;3A;3F;3L;3I
ABCEFGIK;3E;3G;3B;3C;3A;3F;3I;3K
ABCEFGIJ;3E;3G;3B;3C;3A;3F;3I;3J
